applicantId,applicationDate,firstName,lastName,gender,birthDate,phoneNumber,email,address,educationLevel,yearsOfExperience,jobTitle,status,supplierName,customerName,skills
1018,12 Jun 23,John,Coleman,Female,8 01 2005,332.925.0075x0800,smithashley@example.org,5227 William Groves Apt. 165South Andrewport22242Poland,Bachelor's Degree,20,"Merchandiser, retail",Offered,Velvias,VT Ltd.,"power bi, sql, snowflake, databricks, azure"
1019,26 Jun 23,Adam,Best,Other,5/28/2001,(592)449-4498,joe34@example.net,599 Mccoy Estate Apt. 522Lake Christianshire84388Ukraine,PhD,12,"Buyer, retail",Rejected,Amasarte,EG Corp.,"spark, python, sql, tableau, azure"
1020,23 May 23,Cheryl,Peterson,Male,9/18/1990,001-466-805-0058x769,corey49@example.net,331 James SpringsGibbsburgh70864Costa Rica,Bachelor's Degree,6,Water quality scientist,Interviewing,Egar,GA Inc.,"python, pandas, sql, power bi, tableau, azure"
1021,3 Jul 23,Rebecca,Jensen,Female,11/16/2002,573-612-6886x9739,jennifer31@example.com,96558 Robert Crest Suite 109Kathleenfurt44432Central African Republic,Master's Degree,15,"Optician, dispensing",Offered,Glazila,SP Ltd.,"python, sql, power bi, .NET, C#, azure"
1022,3 Aug 23,Gabriel,Norris,Female,1/16/1975,+1-336-343-6187x705,gibbsjacob@example.net,156 Brandy MountainPort Andrewmouth15235United Arab Emirates,Master's Degree,17,"Scientist, marine",Rejected,Jamval,AJM Corp.,"power bi, sql, snowflake, databricks, azure"
1023,8 May 23,Anne,Murphy,Other,10/31/1983,853-255-8266x26434,kristinross@example.net,8136 Theresa Avenue Suite 172East Natalie99861Kyrgyz Republic,PhD,11,Armed forces technical officer,Rejected,Jaz Rum,JN Inc.,"power bi, sql, snowflake, databricks, azure"
1024,25 Jun 23,Thomas,Phillips,Other,2 04 1965,(305)772-2998x02932,melvinzimmerman@example.org,5254 Murray Parkway Suite 484Farrellland19021Belgium,PhD,10,"Scientist, research (physical sciences)",Interviewing,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1025,31 May 23,Nicholas,Conley,Other,10 10 2001,600.967.3095,jameslucas@example.com,10514 Long Ports Apt. 727Port Daniel83798Micronesia,Master's Degree,15,Herpetologist,Interviewing,Lloctoy,JT Corp.,"power bi, sql, snowflake, databricks, azure"
1026,7 Jul 23,Jennifer,Austin,Other,2 03 2002,001-487-829-9532x746,prodriguez@example.com,1253 Monroe RapidNorth Benjaminfurt36583Saint Kitts and Nevis,PhD,8,"Production assistant, radio",In Review,Seapuy,LB Inc.,"spark, python, sql, tableau, azure"
1027,22 Jun 23,Cory,Miller,Other,6 11 1996,427.370.2512x6194,sandraferrell@example.net,168 Chris Roads Suite 459Harveyport8947Norway,High School,15,Publishing rights manager,Interviewing,Velvias,VT Ltd.,"python, pandas, sql, power bi, tableau, azure"
1028,1 Aug 23,Barbara,Lopez,Other,12 01 1966,,lisalee@example.com,901 Erickson BurgPort Christineborough76314Iceland,PhD,19,"Designer, television/film set",Applied,Amasarte,EG Corp.,"spark, python, sql, tableau, azure"
1029,15 Jun 23,Maria,Campbell,Male,12 06 1969,(960)528-9287x86849,juliecarter@example.net,4028 Victoria Trace Suite 510Camachostad44349Macao,Master's Degree,9,"Designer, jewellery",Interviewing,Egar,GA Inc.,"spark, python, sql, tableau, azure"
1030,6 Jul 23,Duane,Lee,Other,10/22/1989,001-266-415-6019x161,jgarrett@example.com,7528 Anderson Locks Suite 143North Benjamin28070Cape Verde,Bachelor's Degree,12,Media buyer,Applied,Glazila,SP Ltd.,"python, pandas, sql, power bi, tableau, azure"
1031,27 Jul 23,Danny,Jones,Male,8/14/1993,001-259-866-8517x64198,mhenderson@example.com,4322 Joseph Ports Apt. 157South Johnburgh44276Comoros,PhD,17,"Designer, textile",In Review,Jamval,AJM Corp.,"python, pandas, sql, power bi, tableau, azure"
1032,2 Jun 23,Hannah,Moore,Other,12/20/1963,294.389.4316x75007,debra21@example.net,6417 Yoder Summit Apt. 056Mayoside94533Tunisia,Master's Degree,10,Commercial horticulturist,Offered,Jaz Rum,JN Inc.,"spark, python, sql, tableau, azure"
1033,16 May 23,Mckenzie,Howe,Male,8/22/2002,230.888.7183,debra17@example.net,9645 Washington ThroughwayChandlerton19797Burkina Faso,Bachelor's Degree,13,Food technologist,Applied,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1034,30 May 23,Ashley,Williams,Male,3/30/1976,+1-946-933-4961x681,pbarron@example.org,456 Martin Oval Apt. 117Zavalabury16709Bahrain,Bachelor's Degree,6,Chartered accountant,Offered,Lloctoy,JT Corp.,"python, pandas, sql, power bi, tableau, azure"
1035,14 Jul 23,Laura,Randall,Male,8 09 1970,,wallacemark@example.net,8884 Christopher JunctionsNorth Tammy98391Anguilla,PhD,19,"Optician, dispensing",Applied,Seapuy,LB Inc.,"spark, python, sql, tableau, azure"
1036,9 May 23,Katherine,Morris,Female,1/26/1979,(984)749-4059,matthewadams@example.net,90800 Michael LodgeNorth Michael18588Canada,High School,11,"Surveyor, rural practice",In Review,Velvias,VT Ltd.,"spark, python, sql, tableau, azure"
1037,18 May 23,Martha,Bradford,Male,9 12 1980,(545)518-9685,kellysellers@example.net,1113 April Mountain Suite 431Oliverhaven83371Nauru,Bachelor's Degree,9,Dance movement psychotherapist,Interviewing,Amasarte,EG Corp.,"power bi, sql, snowflake, databricks, azure"
1038,12 Jun 23,Jessica,Martinez,Other,9 04 1971,,thomas12@example.org,699 Rodriguez GreensJamesville45059United States Virgin Islands,PhD,16,Event organiser,Rejected,Egar,GA Inc.,"python, sql, power bi, .NET, C#, azure"
1039,22 Jun 23,Emily,Myers,Other,9/13/1993,+1-708-518-9313x498,jenniferreyes@example.org,814 Freeman RunLake Juan75775Jordan,Bachelor's Degree,19,"Psychologist, clinical",Rejected,Glazila,SP Ltd.,"python, pandas, sql, power bi, tableau, azure"
1040,3 Aug 23,Steven,Villa,Male,2/14/1993,,joseph36@example.com,4222 Cooper PortsWest Marissafort41339Ghana,Bachelor's Degree,14,Dispensing optician,Interviewing,Jamval,AJM Corp.,"power bi, sql, snowflake, databricks, azure"
1041,18 Jul 23,David,Walker,Female,1/25/1968,364.385.3544x351,jessicaaguirre@example.org,079 Jane CrossingPort Rickyfort24323Cape Verde,PhD,0,Health service manager,Offered,Jaz Rum,JN Inc.,"spark, python, sql, tableau, azure"
1042,10 May 23,Timothy,Rodriguez,Female,6/30/1988,524.599.9460x10219,gloriacruz@example.com,19205 Burke Ports Suite 746Whitebury35524Niger,PhD,14,Clinical cytogeneticist,Rejected,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1043,21 Jun 23,Kevin,Lucas,Female,12/25/1973,(846)687-4365,robertthompson@example.com,4589 Brittany Grove Suite 096Gomeztown21310Antarctica (the territory South of 60 deg S),PhD,8,Sports administrator,Offered,Lloctoy,JT Corp.,"spark, python, sql, tableau, azure"
1044,30 May 23,Sarah,Fischer,Other,11/20/1993,(859)447-7321,wjackson@example.com,9332 Kelley MissionDonshire66350Hong Kong,PhD,5,"Therapist, nutritional",Applied,Seapuy,LB Inc.,"python, pandas, sql, power bi, tableau, azure"
1045,30 Jul 23,Joshua,Weeks,Other,5/27/1994,699-982-2807x65316,telliott@example.org,61766 David Skyway Suite 232Gonzaleschester44532Luxembourg,High School,19,Barrister's clerk,In Review,Velvias,VT Ltd.,"spark, python, sql, tableau, azure"
1046,15 Jul 23,Nicholas,Jenkins,Female,12/24/1965,(225)352-3015x07397,lsmith@example.org,338 Evans Coves Suite 568New Kenneth93369Afghanistan,Bachelor's Degree,8,"Sound technician, broadcasting/film/video",Applied,Amasarte,EG Corp.,"python, sql, power bi, .NET, C#, azure"
1047,24 May 23,Jeremy,Stevens,Female,8/23/1994,,taylormason@example.com,908 Vasquez KnollsKathleenview15637Holy See (Vatican City State),High School,14,Therapeutic radiographer,Rejected,Egar,GA Inc.,"python, pandas, sql, power bi, tableau, azure"
1048,28 Jul 23,Paul,Johnson,Male,7/31/1986,+1-352-506-4850x497,ppowell@example.org,508 Freeman CreekFreemanbury53823Monaco,PhD,7,"Engineer, electronics",In Review,Glazila,SP Ltd.,"python, pandas, sql, power bi, tableau, azure"
1049,4 Jul 23,Jerry,Hernandez,Other,4 07 1976,698-300-1600x23221,upeters@example.com,83202 Ingram FieldsCampbelltown45037Marshall Islands,Master's Degree,4,"Scientist, research (medical)",Applied,Jamval,AJM Corp.,"spark, python, sql, tableau, azure"
1050,26 Sep 23,Sean,Puyod,Male,09/18/2005,9123456789,seanpuyod@beeline.com,"123 Ruby Street, Bonifacio Global Subdivision",Bachelor's Degree,6,Business Intelligence Engineer,Applied,Jamval,AJM Corp.,"python, sql, power bi, .NET, C#, azure"
